state_key,state,year,target,model,train_end_year,actual,predicted,residual,abs_error
Selangor,Selangor,2019,poverty_absolute,rf_sensor_safe,2016,1.2,0.08727370184379316,-1.1127262981562067,1.1127262981562067
Trengganu,Terengganu,2019,poverty_absolute,rf_sensor_safe,2016,6.1,0.5519274851308222,-5.548072514869178,5.548072514869178
Johor,Johor,2020,poverty_absolute,rf_sensor_safe,2019,5.9,1.7479964078893668,-4.152003592110633,4.152003592110633
Kedah,Kedah,2020,poverty_absolute,rf_sensor_safe,2019,12.7,5.7534875078101,-6.946512492189899,6.946512492189899
Kelantan,Kelantan,2020,poverty_absolute,rf_sensor_safe,2019,21.2,5.6923836063130615,-15.507616393686938,15.507616393686938
KualaLumpur,W.P. Kuala Lumpur,2020,poverty_absolute,rf_sensor_safe,2019,0.4,0.7180451689910146,0.31804516899101454,0.31804516899101454
Labuan,W.P. Labuan,2020,poverty_absolute,rf_sensor_safe,2019,5.2,3.117319915613688,-2.082680084386312,2.082680084386312
Melaka,Melaka,2020,poverty_absolute,rf_sensor_safe,2019,6.1,1.6515354731015468,-4.448464526898453,4.448464526898453
NegeriSembilan,Negeri Sembilan,2020,poverty_absolute,rf_sensor_safe,2019,6.5,2.178335152487173,-4.321664847512827,4.321664847512827
Pahang,Pahang,2020,poverty_absolute,rf_sensor_safe,2019,8.8,5.657746707444113,-3.142253292555888,3.142253292555888
Perak,Perak,2020,poverty_absolute,rf_sensor_safe,2019,11.4,2.5312782108945564,-8.868721789105443,8.868721789105443
Perlis,Perlis,2020,poverty_absolute,rf_sensor_safe,2019,9.9,3.307032156688023,-6.592967843311977,6.592967843311977
PulauPinang,Pulau Pinang,2020,poverty_absolute,rf_sensor_safe,2019,3.3,1.1931695544625516,-2.1068304455374482,2.1068304455374482
Putrajaya,W.P. Putrajaya,2020,poverty_absolute,rf_sensor_safe,2019,0.2,0.6306895623275202,0.43068956232752015,0.43068956232752015
Sabah,Sabah,2020,poverty_absolute,rf_sensor_safe,2019,25.3,11.787268213208504,-13.512731786791496,13.512731786791496
Sarawak,Sarawak,2020,poverty_absolute,rf_sensor_safe,2019,12.9,5.6933088438261965,-7.206691156173804,7.206691156173804
Selangor,Selangor,2020,poverty_absolute,rf_sensor_safe,2019,1.7,0.9288243972051917,-0.7711756027948082,0.7711756027948082
Trengganu,Terengganu,2020,poverty_absolute,rf_sensor_safe,2019,12.0,2.768213911894897,-9.231786088105103,9.231786088105103
Johor,Johor,2022,poverty_absolute,rf_sensor_safe,2020,4.6,3.7737042769962468,-0.8262957230037529,0.8262957230037529
Kedah,Kedah,2022,poverty_absolute,rf_sensor_safe,2020,9.0,10.05458779794087,1.0545877979408704,1.0545877979408704
Kelantan,Kelantan,2022,poverty_absolute,rf_sensor_safe,2020,13.2,12.11942400654583,-1.08057599345417,1.08057599345417
KualaLumpur,W.P. Kuala Lumpur,2022,poverty_absolute,rf_sensor_safe,2020,1.4,0.6032860218016776,-0.7967139781983223,0.7967139781983223
Labuan,W.P. Labuan,2022,poverty_absolute,rf_sensor_safe,2020,2.5,5.137884365423629,2.637884365423629,2.637884365423629
Melaka,Melaka,2022,poverty_absolute,rf_sensor_safe,2020,4.2,3.8107935218021343,-0.3892064781978659,0.3892064781978659
NegeriSembilan,Negeri Sembilan,2022,poverty_absolute,rf_sensor_safe,2020,4.4,6.013330675574996,1.6133306755749954,1.6133306755749954
Pahang,Pahang,2022,poverty_absolute,rf_sensor_safe,2020,6.3,9.14582077255308,2.84582077255308,2.84582077255308
Perak,Perak,2022,poverty_absolute,rf_sensor_safe,2020,7.5,8.49818362547138,0.9981836254713805,0.9981836254713805
Perlis,Perlis,2022,poverty_absolute,rf_sensor_safe,2020,4.0,7.412187534519379,3.4121875345193793,3.4121875345193793
PulauPinang,Pulau Pinang,2022,poverty_absolute,rf_sensor_safe,2020,2.0,2.2927231348004784,0.2927231348004784,0.2927231348004784
Putrajaya,W.P. Putrajaya,2022,poverty_absolute,rf_sensor_safe,2020,0.1,0.6909455123562389,0.5909455123562389,0.5909455123562389
Sabah,Sabah,2022,poverty_absolute,rf_sensor_safe,2020,19.7,14.859876929811747,-4.840123070188252,4.840123070188252
Sarawak,Sarawak,2022,poverty_absolute,rf_sensor_safe,2020,10.8,11.138965345709794,0.3389653457097932,0.3389653457097932
Selangor,Selangor,2022,poverty_absolute,rf_sensor_safe,2020,1.5,1.5489844438784584,0.04898444387845835,0.04898444387845835
Trengganu,Terengganu,2022,poverty_absolute,rf_sensor_safe,2020,6.2,4.707117430111362,-1.4928825698886383,1.4928825698886383
